key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
#,,CraftType,RecipeLevelTable,Item{Result},Amount{Result},Item{Ingredient}[0],Amount{Ingredient}[0],Item{Ingredient}[1],Amount{Ingredient}[1],Item{Ingredient}[2],Amount{Ingredient}[2],Item{Ingredient}[3],Amount{Ingredient}[3],Item{Ingredient}[4],Amount{Ingredient}[4],Item{Ingredient}[5],Amount{Ingredient}[5],Item{Ingredient}[6],Amount{Ingredient}[6],Item{Ingredient}[7],Amount{Ingredient}[7],Item{Ingredient}[8],Amount{Ingredient}[8],Item{Ingredient}[9],Amount{Ingredient}[9],RecipeElement,,IsSecondary,DifficultyFactor,QualityFactor,DurabilityFactor,,RequiredCraftsmanship,RequiredControl,QuickSynthCraftsmanship,QuickSynthControl,SecretRecipeBook,CanQuickSynth,CanHq,ExpRewarded,Status{Required},Item{Required},IsSpecializationRequired,,PatchNumber
int32,int32,CraftType,RecipeLevelTable,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,RecipeElement,uint16,bit&01,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,SecretRecipeBook,bit&02,bit&04,bit&08,Status,Item,bit&10,bit&20,uint16
0,0,"Woodworking","RecipeLevelTable#0","",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,,0,,0,"Aspect: None",0,False,100,100,100,0,0,0,0,0,"",True,True,True,"","",False,False,0
1,10001,"Smithing","RecipeLevelTable#1","Bronze Ingot",1,"Copper Ore",2,"Tin Ore",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,,0,"Aspect: None",0,False,50,100,67,0,0,0,0,0,"",True,True,True,"","",False,False,0
2,10002,"Smithing","RecipeLevelTable#1","Bronze Hatchet",1,"Bronze Ingot",1,"Maple Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,True,"","",False,False,0
3,10003,"Smithing","RecipeLevelTable#2","Bronze Bastard Sword",1,"Bronze Ingot",1,"Maple Lumber",1,"Bone Chip",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,True,"","",False,False,0
4,10004,"Smithing","RecipeLevelTable#2","Amateur's File",1,"Bronze Ingot",2,"Leather",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,True,"","",False,False,0
5,10005,"Smithing","RecipeLevelTable#3","Bronze Rivets",1,"Bronze Ingot",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,,0,"Aspect: None",0,False,50,100,67,0,0,0,0,0,"",True,True,True,"","",False,False,0
6,10006,"Smithing","RecipeLevelTable#3","Bronze War Axe",1,"Bronze Ingot",2,"Maple Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,True,"","",False,False,0
7,10007,"Smithing","RecipeLevelTable#3","Amateur's Pliers",1,"Bronze Ingot",1,"Bronze Rivets",1,"Fish Oil",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,True,"","",False,False,0
